Record.ID,Citation,Identifiers,Links
166,[],[],"['research.arcadiascience.com', 'https://stanford.edu', 'https://www.pnas.org/content/112/44/13439', 'mail.google.com', 'https://sites.slac.stanford.edu/cryo-em', 'https://sites.slac.stanford.edu/cryo-em/', 'https://www.arcadiascience.com/', 'https://www.pnas.org/content/112/44/13439)']"
169,"['(from Jan 1, 2025)']",[],[]
193,[],['PMC11484459'],"['https://pmc.ncbi.nlm.nih.gov/articles/PMC11484459/', 'https://www.nature.com/nature/for-authors/publishing-options']"
203,[],[],['research.arcadiascience.com']
218,[],"['25561560', '32430336']","['https://www.nature.com/nri/for-authors/preparing-your-submission#publishingmodel)', 'https://www.nature.com/ni/submission-guidelines/publishingoptions#:~:text=GOLD%20OA%20FUND,and%20the%20Nature%20research%20journals.)', 'https://www.nature.com/nri/for-authors/preparingyour-submission#publishingmodel)']"
222,[],[],['https://jane.biosemantics.org/']
229,[],[],['https://www.deltathink.com/news-views-open-access-charges-price-increases-back-on-trend']
241,[],[],"['https://mtatransfer.nature.com/transfer_start?j_id=108&ms_id=102–0&token=e98b8ead2676aff5fceb6a6cc06b5f768f8d6e6d&display_all=yes', 'https://mtatransfer.nature.com/transfer_start?j_id=108&ms_id=102…0&token=e98b8ead2676aff5fceb6a6cc06b5f768f8d6e6d&display_all=yes', 'https://nature.com', 'https://mtatransfer.nature.com/transfer_start?j_id=108&ms_id=1025…0&token=e98b8ead2676aff5fceb6a6cc06b5f768f8d6e6d&display_all=yes', 'https://mtatransfer.nature.com/transfer_start?j_id=108&ms_id=1025–0&token=e98b8ead2676aff5fceb6a6cc06b5f768f8d6e6d&display_all=yes']"
243,[],"['38415594', '35219746', '37433004', '10.1016/j.jlr.2023.100377', '10.13039/100000057', '10.13039/100000060', '10.1158/1541-7786.MCR-22-0085', '35560154', '10.1128/mbio.00299-24', 'PMC11005342', '39807365', 'PMC11728077', '10.1016/j.jlr.2022.100187', 'PMC10565596', '37119922', '10.13039/100000738', 'PMC9444881', '10.1126/scisignal.add6527', 'PMC10230265', 'PMC8980959']","['Confirmation.html', 'j.omtn', 'https://invoice-pay.elsevier.com', 'Content.Outlook', 'https://oa.copyright.com/apc-payment-ui/transaction?id=dbaf9d59-276e-437', 'j.jlr', 'Tax.NAT', '1541-7786.MCR', 'invoice-pay.elsevier.com']"
247,"['(July 1, 2025)']",[],[]
265,"['(FOAA, n.d.)', '(Grossmann & Brembs, 2021)', 'Rodrigues et al. (2020)', 'Grossmann and Brembs (2021)']",[],['https://direct.mit.edu/qss/article/4/4/778/118070/The-oligopoly-s-shift-to-open-access-How-the-big']
289,"['Host & Microbe (2020)', 'Virology (2022)', 'Cell (2021)', 'Microbiology (2023)', 'Pharmacology (2022)', 'PNAS (2021)', '(×2, 2023)', 'Reports (2023)', 'Genetics (2021)']",[],[]
300,[],[],"['Other.considerations.when.allowing.higher.per', 'pub.costs', 'To.wit', 'Summary.Position', 'Additional.Considerations']"
330,[],[],"['https://implementationscience.biomedcentral.com/submission-guidelines/fees-and-funding', 'https://us.sagepub.com/en-us/nam/implementation-research-and-practice/journal203691', 'https://implementationsciencecomms.biomedcentral.com/submission-guidelines/fees-andfunding#:~:text=Article%20processing%20charges%20(APC),discounts%20policy%20for%20further%20in']"
343,[],[],"['https://www.nature.com/nature-index/faq#journals)—', 'https://www.whitehouse.gov/fact-sheets/2025/05/fact-sheetpresident-donald-j-trump-is-restoring-gold-standard-science-in-america)']"
346,[],"['10.1101/2025.03.18.644032v1', '10.1097/CCM.0000000000006637', '10.1101/2025.03.18.644032']","['view.3.aspx', 'https://journals.lww.com/ccmjournal/fulltext/2025/06000/effect_of_monetary_incentives_on_peer_re', 'https://www.biorxiv.org/content/10.1101/2025.03.18.644032v1']"
354,[],['PMC8276192'],['https://pmc.ncbi.nlm.nih.gov/articles/PMC8276192/']
373,[],[],"['https://www.nature.com/nature/for-authors/publishing-options?utm_source=chatgpt.com', 'Journalscoalition-s.org', 'arXivopusproject.eu', 'https://www.pnas.org/author-center/publication-charges?utm_source=chatgpt.com', 'https://doaj.org/apply/transparency/?utm_source=chatgpt.com', 'https://www.chemistryworld.com/news/predatory-publisher-omics-fined-50-million-by-us-court-for-defrauding-scientists/3010348.article?utm_source=chatgpt.com', 'https://www.ftc.gov/news-events/news/press-releases/2019/04/court-rules-ftcs-favor-against-predatory-academic-publisher-omics-group-imposes-501-million-judgment?utm_source=chatgpt.com', 'Journalspublicationethics.org', 'https://arxiv.org/pdf/2407.16551?utm_source=chatgpt.com', 'https://opusproject.eu/openscience-news/estimating-global-article-processing-charges-paid-to-six-publishers-for-open-access-2019-2023/?utm_source=chatgpt.com', 'https://publicationethics.org/guidance/guideline/author-fees-and-waivers?utm_source=chatgpt.com', 'publicationethics.org', 'https://www.coalition-s.org/technical-guidance_and_requirements/?utm_source=chatgpt.com']"
386,[],[],"['https://plos.org/fees/', 'https://academic.oup.com/pages/openresearch/open-access/charges-licences-and-self-archiving', 'https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/index.html', 'https://www.pnas.org/author-center/publication-charges']"
387,[],[],"['https://www.nature.com/nature/for-authors/publishing-options', 'https://elifesciences.org/about/submit-your-research', 'https://www.cell.com/open-access', 'https://www.pnas.org/author-center/publication-charges']"
396,"['UC-Elsevier (2021)', 'Data (2023)', '(March 2021)', 'Analysis (2025)']",[],"['effectively.Verification', 'https://osc.universityofcalifornia.edu/uc-publisher-relationships/press-room/historical-informationregarding-ucs-negotiations-with-elsevier/', 'institutions.ECR', 'quality.Differential', 'community.Implementation', 'goals.Funding', 'expertise.Quality']"
404,[],[],"['service.This', 'compensated.It']"
438,[],[],"['https://ecoevorxiv.org/repository/view/9495/', 'https://ecoevorxiv.org/repository/view/9659/']"
460,[],[],"['https://www.newscientist.com/article/mg24032052-900-time-to-break-academicpublishings-stranglehold-on-research/', 'https://www.newscientist.com/article/mg24032052-900-time-to-break-academic626']"
464,['(Version 2)'],"['10.54900/da84n-4hx26', '10.54900/j3csy-hey68']","['https://upstream.force11.org/trying-to-make-sense-of-all-of-this/', 'https://ghost.org/', 'https://upstream.force11.org/author/ginny/', 'https://upstream.force11.org/cultivating-openness-from-community-resources-to-institutional-acceptance/', 'https://upstream.force11.org/author/tac_niso/', 'http://pinterest.com/pin/create/button/?url=https://upstream.force11.org/my-response-to-nih-request-for-information-on-proposed-apc-caps/&media=https://upstream.force11.org/content/images/2025/08/1000015512.jpg&description=My%20Response%20to%20the%20NIH%20Request%20for%20Information%20on%20Proposed%20APC%20Caps', 'https://bidenwhitehouse.archives.gov/wp-content/uploads/2024/06/2024-Report-to-Appropriations-Committee-on-Scholarly-Publishing-and-Public-Access-Implementation.pdf', 'https://www.springernature.com/gp/open-science/journals-books/journals', 'https://twitter.com/share?text=My%20Response%20to%20the%20NIH%20Request%20for%20Information%20on%20Proposed%20APC%20Caps&url=https://upstream.force11.org/my-response-to-nih-request-for-information-on-proposed-apc-caps/', 'https://www.science.org/content/article/nih-details-options-limiting-its-payments-open-access-publishing-fees', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25-138.html', 'https://upstream.force11.org/tag/thought-pieces/', 'https://upstream.force11.org/author/marcum/', 'https://grants.nih.gov/grants/policy/nihgps/html5/section_8/8.2.1_rights_in_data__publication_and_copyrighting_.htm', 'https://legacyfileshare.elsevier.com/promis_misc/article-publishing-charge.pdf', 'https://upstream.force11.org/desirable-characteristics-for-persistent-identifiers/', 'https://creativecommons.org/licenses/by/4.0/legalcode', 'https://upstream.force11.org/latest/', 'https://doi.org/10.54900/da84n-4hx26', 'https://aspirethemes.com/themes/tripoli', 'on-Scholarly-Publishing-and-Public-Access-Implementation.pdf', 'https://upstream.force11.org/drinking-from-the-firehose-2/', 'https://upstream.force11.org/principles-of-open-scholarly-infrastructure-posi-version-1-1-reflections-from-adopters/', 'https://www.linkedin.com/shareArticle?mini=true&url=https://upstream.force11.org/my-response-to-nih-request-for-information-on-proposed-apc-caps/&title=My%20Response%20to%20the%20NIH%20Request%20for%20Information%20on%20Proposed%20APC%20Caps', 'https://shopfaes.com/shop-nih-1/p/legacy-reclaim-stretch-fit-cap', 'https://upstream.force11.org/authors/', 'https://upstream.force11.org/author/chris/', 'https://bidenwhitehouse.archives.gov/wp-', 'https://upstream.force11.org/author/esther/', 'https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges/index.html', 'https://doi.org/10.54900/j3csy-hey68', 'https://upstream.force11.org/author/john/', 'https://upstream.force11.org/author/jeroen-bosman/', 'https://upstream.force11.org/tag/meetings/', 'https://upstream.force11.org/tag/news/', 'https://upstream.force11.org/author-guidelines/', 'https://upstream.force11.org/author/lena/', 'https://upstream.force11.org/author/dorienhuijser/', 'https://upstream.force11.org/capping-apcs-may-not-work/', 'https://osp.od.nih.gov/comment-form-maximizing-', 'https://www.facebook.com/sharer/sharer.php?u=https://upstream.force11.org/my-response-to-nih-request-for-information-on-proposed-apc-caps/', 'https://upstream.force11.org/language-co-option-in-the-open-space/', 'https://upstream.force11.org/author/jeroen/', 'https://upstream.force11.org/latest/rss/', 'https://www.science.org/content/article/nih-details-options-limiting-', 'https://upstream.force11.org/', 'https://upstream.force11.org/about/', 'https://upstream.force11.org/tag/original-research/', 'https://upstream.force11.org/the-resilience-of-open-science-in-times-of-crisis/', 'https://upstream.force11.org/my-response-to-nih-request-for-information-on-proposed-apc-caps/', 'https://osp.od.nih.gov/comment-form-maximizing-research-funds-by-limiting-allowable-publishing-costs/', 'https://upstream.force11.org/author/danny/', 'https://upstream.force11.org/tag/interviews/']"
498,"['RESULTS (2025)', '(C.D. Cal. 2020)', 'Policy (2008)', '(E.D.N.Y. May 5, 2025)', '(Months 1-6)', '(Months 7-12)', 'Published (2024)', '(Sept. 2023)', 'Date (2023)', '(Van Noorden, 2023)', '(June 22, 2025)', '(Amended Complaint, Nov. 15, 2024)', '(Apr. 25, 2016)', '(Aug. 25, 2022)', 'PROGRESS (2023)', '(D.D.C. 1982)', 'NEWS (2020)', 'Report (2024)', '(Nature Publishing Group, 2023)', 'Funding (2024)', 'Agreements (2024)', '(D.C. Cir. 2001)', 'SCIENCE (2024)', '(Nov. 2023)', '(Months 13-24)', '(D. Nev. Apr. 3, 2019)', '(D. Nev. Aug. 25, 2016)', '(Dec. 12, 2023)', 'Dashboard (2024)', 'Tools (2024)', '(June 23, 2023)', 'Policy (2024)', '(Years 2-3)', '(May 2024)', '(Jan. 4, 2024)', '(Mar. 25, 2019)', '(NIH RePORT, 2023)', '(Nov. 2017)', '(Mar. 16, 2021)', '(Retraction Watch, 2023)', '(Nov. 17, 2021)', '(Dec. 19, 2023)', '(D.C. Cir. 2009)', '(June 2023)', '(D.C. Cir. 2021)', 'ACCESS (2012)', '(E.D.N.Y. ﬁled Sept. 12, 2024)']","['10.2139/ssrn.5315585', '10.1128/mBio.00809-16', '10.1038/d41586-023-03974-8', '10.12688/f1000research.11369.1']","['https://maximizaÿon.32/', 'https://www.ukri.org/publications/ukriopen-access-policy/', 'https://perma.cc/XXXX-XXXX]', 'https://operaÿons.31/', 'https://www.whitehouse.gov/wp-', 'https://content.11/', 'https://www.science.org/content/article/paper-mills-bribing-editors-scholarly-journals-science-', 'https://harvardlawreview.org/submissions', 'http://www.lifewithalacrity.com/2016/04/the-path-to-self-soverereign-identity.html', 'http://dx.doi.org/10.2139/ssrn.5315585', 'https://ssrn.com/abstract=5315585', 'https://scholasticahq.com', 'https://fraud.33/', 'https://operaÿon.12/', 'https://www.science.org/content/article/university-california-and-elsevier-reach-new-open-access-', 'http://www.research4life.org/', 'http://www.coalition-s.org/', 'https://www.nature.com/articles/d41586-023-03974-8', 'https://www.cnrs.fr/en/cnrsinfo/publication-costs-we-are-edge-abyss', 'http://www.whitehouse.gov/wp-', 'https://doi.org/10.1038/d41586-023-03974-8', 'http://www.science.org/content/article/paper-mills-bribing-editors-scholarly-journals-science-', 'http://www.science.org/content/article/university-california-and-elsevier-reach-new-open-access-', '08-2022-OSTP-Public-Access-Memo.pdf', 'https://www.projekt-deal.de/about-deal/', 'https://service.22/', 'https://www.science.org/content/article/paper-mills-bribing-editors-scholarly-journals-scienceinvestigation-finds', 'https://perma.cc/XXXX-', 'http://www.projekt-deal.de/about-deal/', 'http://www.nature.com/articles/d41586-023-03974-8', 'https://osp.od.nih.gov/wp-content/uploads/ninja-forms/51/af2-combined.pdf', 'http://www.nature.com/nature/for-authors/publishing-options', 'https://doi.org/10.12688/f1000research.11369.1', 'http://thecostofknowledge.com/', 'https://www.nature.com/nature/forauthors/publishing-options', 'http://www.digital-science.com/resources/digital-', 'http://www.ajol.info/', 'https://450movement.org', 'http://www.dfg.de/en/research-funding/funding/publication-funding', 'https://publishers.13/', 'http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23104', 'https://www.digital-science.com/resources/digital-', 'http://www.nature.com/nature/about', 'http://www.cdlib.org/services/collections/continuum/negotiating', 'https://www.nature.com/nature/about', 'https://www.cnrs.fr/en/cnrsinfo/publication-costs-we-are-edge-', 'https://www.research4life.org', 'https://www.travelandleisure.com/hotels-resort-fees-ftc', 'https://www.coalition-s.org', 'http://www.cnrs.fr/en/cnrsinfo/publication-costs-we-are-edge-', 'https://www.nature.com/nature/for-authors/publishing-options', 'https://scruÿny.21/', 'https://www.cdlib.org/services/collections/continuum/negotiating', 'http://thecostofknowledge.com', 'https://www.dfg.de/en/research-funding/funding/publication-funding', 'http://law.bepress.com/expresso', 'https://doaj.org', 'https://sparcopen.org', 'https://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23104', 'https://lawsuits.23/', 'https://ori.hhs.gov/annual-report', 'https://www.ajol.info', 'http://www.travelandleisure.com/hotels-resort-fees-ftc', 'https://osp.od.nih.gov/comment-form-maximizing-research-funds-by-limiting-allowable-publishing-', 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-', 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than8000-paper-mill-articles/', 'https://osp.od.nih.gov/comment-form-maximizing-research-funds-by-limiting-allowable-publishing', 'https://report.nih.gov', 'http://roarmap.eprints.org/', 'http://roarmap.eprints.org', 'https://www.digital-science.com/resources/digital-researchreports/blockchain-for-research/', 'https://doi.org/10.1128/mBio.00809-16']"
506,[],[],['https://www.nature.com/articles/d41586-025-00968-6']
526,['(granted in 2024)'],[],[]
561,[],[],"['https://www.chronicle.com/events/virtual/the-future-of-the-faculty', 'https://jamanetwork.com/pages/access-at-jama-network#public-access', 'https://grants.nih.gov/policy-and-compliance/policy-topics/public-access/nih-public-access-policy-overview', 'https://bsky.app/profile/stephaniemlee.bsky.social', 'https://www.relx.com/~/media/Files/R/RELX-Group/documents/reports/annual-reports/relx-2024-annual-report.pdf', 'https://www.chronicle.com/author/stephanie-m-lee', 'https://www.facebook.com/dialog/share?app_id=639343763599274&display=popup&href=https%3A%2F%2Fwww.chronicle.com%2Farticle%2Fmaking-your-research-free-may-cost-you', 'https://jobs.chronicle.com/job/37865538/dean-of-students?utm_source=cdp&utm_medium=d-had&utm_campaign=che-js-aq-topjob', 'https://jobs.chronicle.com/job/37876657/pt-head-men-s-basketball-coach?utm_source=cdp&utm_medium=d-had&utm_campaign=che-js-aq-topjob', 'https://store.chronicle.com/products/a-toolbox-for-student-affairs?utm_campaign=che-st-gen-prd-cltr&utm_medium=d-had&utm_source=cdp&utm_content=24-06-21-ftr', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25-138.html', 'https://group.springernature.com/gp/group/media/press-releases/results-financial-year-2024/27762650', 'https://www.chronicle.com/article/which-colleges-have-conferred-the-most-bachelors-degrees', 'https://store.chronicle.com/products/the-neurodiverse-campus?utm_campaign=che-st-gen-prd-cltr&utm_medium=d-had&utm_source=cdp&utm_content=24-06-21-ftr', 'https://www.chronicle.com/article/how-are-instructors-talking-about-ai-in-their-syllabi', 'https://bidenwhitehouse.archives.gov/wp-content/uploads/2022/08/08-2022-OSTP-Public-Access-Memo.pdf', 'https://www.chronicle.com/', 'https://www.chronicle.com/author/scott-spillman', 'https://www.chronicle.com/article/trump-will-make-the-professoriate-less-diverse', 'https://www.chronicle.com/author/frank-dobbin', 'https://www.nih.gov/about-nih/nih-director/statements/accelerating-access-research-results-new-implementation-date-2024-nih-public-access-policy', 'https://c950.chronicle.com/s/e9r?profileid=6487ad55-9d6a-42c1-bc8c-726de6581038', 'https://www.chronicle.com/account/login?redirectUri=%2Farticle%2Fmaking-your-research-free-may-cost-you', 'stephaniemlee.bsky.social', 'https://www.chronicle.com/author/alexandra-kalev', 'https://www.science.org/content/page/science-journals-editorial-policies', 'https://www.chronicle.com/tag/law-policy', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25-047.html', 'https://www.nature.com/articles/d41586-025-02080-1', 'https://www.linkedin.com/shareArticle?url=https%3A%2F%2Fwww.chronicle.com%2Farticle%2Fmaking-your-research-free-may-cost-you&mini=true&title=Making%20Your%20Research%20Free%20May%20Cost%20You&summary=Under%20a%20new%20requirement%20that%20NIH-funded%20research%20be%20freely%2C%20immediately%20available%2C%20some%20journals%20are%20forcing%20researchers%20to%20pay%20to%20publish.&source=CHE', 'https://www.chronicle.com/article/tracking-trumps-higher-ed-agenda', 'https://www.nature.com/nature/for-authors/publishing-options', 'https://www.axios.com/2025/06/25/trump-cuts-contracts-scientific-publisher', 'https://web.archive.org/web/20250518171920/https://www.elsevier.com/open-access/funding-arrangements/nih', 'https://store.chronicle.com/products/energizing-alumni?utm_campaign=che-st-gen-prd-cltr&utm_medium=d-had&utm_source=cdp&utm_content=24-06-21-ftr', 'https://www.chronicle.com/events/virtual/virtual-event-transfer-students-as-a-key-to-institutional-resilience', 'https://www.investing.com/news/transcripts/earnings-call-transcript-springer-nature-sees-5-revenue-growth-in-q1-2025-93CH-3934640', 'https://c950.chronicle.com/s/eB1?profileid=6487ad55-9d6a-42c1-bc8c-726de6581038', 'https://www.chronicle.com/tag/scholarship-research', 'https://store.chronicle.com/products/the-data-informed-campus?utm_campaign=che-st-gen-prd-cltr&utm_medium=d-had&utm_source=cdp&utm_content=24-06-21-ftr', 'https://twitter.com/intent/tweet?url=https%3A%2F%2Fwww.chronicle.com%2Farticle%2Fmaking-your-research-free-may-cost-you&text=Making%20Your%20Research%20Free%20May%20Cost%20You', 'https://www.chronicle.com/article/the-book-that-explained-the-university-to-itself', 'https://c950.chronicle.com/s/cON?profileid=6487ad55-9d6a-42c1-bc8c-726de6581038', 'https://www.springernature.com/gp/open-science/us-federal-agency-compliance', 'https://www.coalition-s.org/diamond-open-access/', 'https://jobs.chronicle.com/job/37859130/coordinator-dual-credit?utm_source=cdp&utm_medium=d-had&utm_campaign=che-js-aq-topjob', 'https://store.chronicle.com/products/building-trust?utm_campaign=che-st-gen-prd-cltr&utm_medium=d-had&utm_source=cdp&utm_content=24-06-14-asd', 'https://www.chronicle.com/author/stanley-andrisse', 'https://www.chronicle.com/article/virginia-democrats-block-college-board-appointees-leaving-george-masons-without-a-quorum', 'https://c950.chronicle.com/s/e7R?profileid=6487ad55-9d6a-42c1-bc8c-726de6581038', 'https://www.elsevier.com/open-access/funding-arrangements/nih/pmc-terms-and-conditions', 'https://www.chronicle.com/subscribe?offer=ar4fmd1&oc=YH251WSCFT&cid=cs-che-f-sub', 'https://www.insidehighered.com/news/quick-takes/2024/09/16/scientists-file-antitrust-lawsuit-against-journal-publishers', 'https://osp.od.nih.gov/policies/public-access/', 'https://www.chronicle.com/article/how-i-went-from-prison-to-tenure', 'https://jobs.chronicle.com/job/37875950/assistant-professor-women-and-gender-studies?utm_source=cdp&utm_medium=d-had&utm_campaign=che-js-aq-topjob', 'https://jobs.chronicle.com/job/37876544/tenure-track-assistant-professor-in-interdisciplinary-art?utm_source=cdp&utm_medium=d-had&utm_campaign=che-js-aq-topjob']"
564,[],['10.1073/pnas.2401231121'],['https://www.pnas.org/doi/10.1073/pnas.2401231121']
575,[],[],['https://group.springernature.com/gp/group/media/press-releases/results-financial-year2024/27762650']
620,"['(Frontiers, 2025; Kincaid, 2022)', '(Deci, 1971)']",['10.1037/h0030644'],"['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/', 'https://psycnet.apa.org/doi/10.1037/h0030644', 'https://osp.od.nih.gov/comment-form-maximizing-research-funds-by-', 'https://www.researchinformation.info/news/frontiers-uncovers-peer-review-manipulation-network/', 'https://doi.org/10.1037/h0030644', 'https://www.researchinformation.info/news/frontiers-uncovers-peer-review-', 'https://osp.od.nih.gov/comment-form-maximizing-research-funds-by-limiting-allowable-publishing-costs/', 'https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-']"
621,[],[],"['www.asm.org', 'http://www.asm.org/']"
641,[],['PMC10906259'],['https://pmc.ncbi.nlm.nih.gov/articles/PMC10906259/']
650,[],['10.1038/517145a'],"['https://pubmed.ncbi.nlm.nih.gov/38962691/', 'https://www.springernature.com/gp/openscience/journals-books/journals']"
652,[],[],"['https://www.nih.gov/news-events/news-releases/nih-crack-down-excessive-publisher-fees-publiclyfunded-research', 'https://www.acs.org/policy/publicpolicies/science-policy/peerreview.html']"
678,[],['27683470'],[]
680,[],[],"['https://www.nature.com/nature/for-authors/publishing-options', 'https://acsopenscience.org/researchers/open-access/', 'https://www.rsc.org/publishing/openaccess/open-access-options']"
689,[],[],"['elearn.org', 'histoconvention.org', 'nsh.org']"
692,[],[],['ConductScience.org']
701,[],[],['https://www.sciencedirect.com/science/article/pii/S0895435625002513']
706,[],[],['hhmi.org']
708,[],['10.12688/f1000research.27468.2'],"['https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://doi.org/10.12688/f1000research.27468.2)']"
711,"['(ASAPbio, Creative Commons, 2025)', '(Invest in Open Infrastructure, 2025)', '(Updated report to Congress, 2004)', '(Corker, Waltman, & Coates, 2024)']",[],[]
713,[],[],['https://snmmi.org/']
720,[],[],['access.Therefore']
723,[],['10.5281/zenodo.15968446'],"['https://doi.org/10.5281/zenodo.15968446', 'https://www.science.org/content/article/450-question-should-journals-pay-peer-reviewers', 'https://www.promarket.org/2024/04/24/high-prices-and-market-power-of-academic-publishing-reduce-arti', 'https://www.promarket.org/2024/04/24/high-prices-and-market-power-of-academic-publishing-reduce-article-citations/', 'https://doi.org/10.5281/zenodo.15968446)\u200b', 'https://www.researchprofessionalnews.com/rr-news-world-2024-11-springer-nature-reports-adjusted-oper', 'https://www.researchprofessionalnews.com/rr-news-world-2024-11-springer-nature-reports-adjusted-operating-profit-margin-of-28/']"
