Record.ID,Citation,Links
354,[],['https://pmc.ncbi.nlm.nih.gov/articles/PMC8276192/.']
386,[],"['https://plos.org/fees/', 'https://academic.oup.com/pages/openresearch/open-access/charges-licences-and-self-archiving', 'https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/index.html', 'https://www.pnas.org/author-center/publication-charges']"
387,[],"['https://www.cell.com/open-access', 'https://elifesciences.org/about/submit-your-research', 'https://www.nature.com/nature/for-authors/publishing-options', 'https://www.pnas.org/author-center/publication-charges']"
396,"['Align with Plan S and COPE for consistent standards. Evidence Supporting Best PracticesDOAJ Analysis (2025)', 'Elsevier (2021)', 'OA show transformative models work. Retraction Data (2023)', 'Align with Plan S and COPE for consistent standards. Evidence Supporting Best PracticesDOAJ Analysis (2025)', 'Elsevier (2021)', 'OA show transformative models work. Retraction Data (2023)']",['https://osc.universityofcalifornia.edu/uc-publisher-relationships/press-room/historical-informationregarding-ucs-negotiations-with-elsevier/']
404,[],['compensated.It']
438,[],"['https://ecoevorxiv.org/repository/view/9495/', 'https://ecoevorxiv.org/repository/view/9659/']"
460,[],"['https://www.newscientist.com/article/mg24032052-900-time-to-break-academicpublishings-stranglehold-on-research/', 'https://www.newscientist.com/article/mg24032052-900-time-to-break-academic626']"
498,"['(Van Noorden, 2023)', '(Retraction Watch, 2023)', '(Nature Publishing Group, 2023)', '(NIH RePORT, 2023)', 'M. (2025)', 'ATTACHED Deutsche Forschungsgemeinschaft. (2024)', 'UK Research & Innovation. (2024)', 'CNRS. (2024)', 'M. (2025)', 'R. (2023)', 'Springer Nature. (2023)', 'Deutsche Forschungsgemeinschaft. (2024)', 'M. (2025)', 'H. (2024)', 'T. (2017)', 'M. (2025)', 'F. C. (2016)', 'T. (2017)', 'J. (2017)', 'M. (2025)', 'F. C. (2016)', 'T. (2017)', 'J. (2017)']","['https://www.dfg.de/en/research-funding/funding/publication-funding', 'https://www.ukri.org/publications/ukriopen-access-policy/', 'https://www.cnrs.fr/en/cnrsinfo/publication-costs-we-are-edge-abyss', 'https://doi.org/10.1038/d41586-023-03974-8', 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than8000-paper-mill-articles/', 'https://www.nature.com/nature/forauthors/publishing-options', 'https://report.nih.gov', 'https://www.dfg.de/en/research-funding/funding/publication-funding', 'https://www.science.org/content/article/paper-mills-bribing-editors-scholarly-journals-scienceinvestigation-finds', 'https://doi.org/10.12688/f1000research.11369.1', 'https://doi.org/10.1128/mBio.00809-16', 'https://doi.org/10.12688/f1000research.11369.1', 'https://www.digital-science.com/resources/digital-researchreports/blockchain-for-research/', 'https://doi.org/10.1128/mBio.00809-16', 'https://doi.org/10.12688/f1000research.11369.1', 'https://www.digital-science.com/resources/digital-researchreports/blockchain-for-research/', 'https://osp.od.nih.gov/wp-content/uploads/ninja-forms/51/af2-combined.pdf']"
506,[],['https://www.nature.com/articles/d41586-025-00968-6']
564,[],['https://www.pnas.org/doi/10.1073/pnas.2401231121.']
575,[],"['https://group.springernature.com/gp/group/media/press-releases/results-financial-year2024/27762650', 'https://group.springernature.com/gp/group/media/press-releases/results-financial-year2024/27762650']"
621,[],"['www.asm.org', 'asmusa.org', 'www.asm.org']"
641,[],['https://pmc.ncbi.nlm.nih.gov/articles/PMC10906259/']
650,[],"['https://www.springernature.com/gp/openscience/journals-books/journals', 'https://pubmed.ncbi.nlm.nih.gov/38962691/']"
652,[],"['https://www.nih.gov/news-events/news-releases/nih-crack-down-excessive-publisher-fees-publiclyfunded-research', 'https://www.acs.org/policy/publicpolicies/science-policy/peerreview.html']"
680,[],"['https://www.nature.com/nature/for-authors/publishing-options;', 'https://acsopenscience.org/researchers/open-access/;', 'https://www.rsc.org/publishing/openaccess/open-access-options']"
689,[],"['nsh.org', 'nsh.org', 'histoconvention.org', 'elearn.org', 'nsh.org']"
701,[],"['https://www.sciencedirect.com/science/article/pii/S0895435625002513', 'https://www.sciencedirect.com/science/article/pii/S0895435625002513']"
706,[],"['hhmi.org', 'hhmi.org']"
708,[],"['https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://doi.org/10.12688/f1000research.27468.2']"
711,"['(Updated report to Congress, 2004)', '(Invest in Open Infrastructure, 2025)', 'T. (2025)', 'C. S. (2025)', 'L. et. al (2023)', 'US funding agencies (2023)']",[]
723,['CoARA Working Group on Recognizing and Rewarding Peer Review. (2025)'],"['https://www.researchprofessionalnews.com/rr-news-world-2024-11-springer-nature-reports-adjusted-oper', 'https://www.promarket.org/2024/04/24/high-prices-and-market-power-of-academic-publishing-reduce-arti', 'https://www.science.org/content/article/450-question-should-journals-pay-peer-reviewers', 'https://doi.org/10.5281/zenodo.15968446']"
730,[],['https://doi.org/10.31274/jlsc.18184']
732,[],['PREreview.org']
736,[],"['https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://arxiv.org/abs/2407.16551']"
740,[],"['https://doi.org/10.1002/leap.1116', 'https://doi.org/10.1002/leap.1219']"
745,[],"['ClinicalTrials.gov', 'ClinicalTrials.gov']"
749,[],['https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/']
750,[],"['tandf.co.uk', 'https://www.tandfonline.com/journals/isum20,', 'https://www.tandfonline.com/journals/vach20,', 'https://taylorandfrancis.com/our-policies/open-access-pricing.', 'https://newsroom.taylorandfrancisgroup.com/research-square-peer-review-pilot/']"
751,"['(Butler et al., 2023)', '(Haustein et al., 2025)', '(ASAPbio, 2025)', 'Corker et al. (2024)', 'ASAPbio. (2025)', 'S. (2023)', 'J. A. (2024)', 'D. (2025)']","['prereview.org', 'https://asapbio.org/preprint-policyframework/', 'https://doi.org/10.1162/qss_a_00272', 'https://doi.org/10.31222/osf.io/h7swt', 'https://doi.org/10.59350/scholcommlab.5645']"
757,[],"['https://www.socpc.org/.', 'https://www.coalition-s.org/blog/journal-comparison-serviceanalysis-of-the-2022-data/', 'https://www.embo.org/features/the-cost-of-scientific-publishing/', 'https://elifesciences.org/insideelife/e3e8def1/annual-report-2023-in-review.', 'https://www.embo.org/features/the-costof-scientific-publishing/', 'https://zenodo.org/records/15968446.', 'https://www.biorxiv.org/content/10.1101/2025.03.18.644032v1.full.pdf.']"
760,[],"['https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0253129', 'https://www.library.ucsf.edu/about/subscriptions/journals-costs/', 'https://grants.nih.gov/policy-and-compliance/policy-topics/public-access', 'https://www.the-geyser.com/nih-poised-to-regulate-apcs/', 'https://onlinelibrary.wiley.com/doi/full/10.1002/leap.1558', 'https://upstream.force11.org/capping-apcs-may-not-work/', 'https://www.ce-strategy.com/the-brief/capped/', 'https://www.ce-strategy.com/the-brief/end-of-a-bargain/#4', 'https://asistdl.onlinelibrary.wiley.com/doi/full/10.1002/asi.23446', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0320684', 'https://anr.rwjf.org/templates/external/BPG_Standard.pdf', 'https://pubmed.ncbi.nlm.nih.gov/34776003/', 'https://www.thelancet.com/journals/lancet/article/PIIS0140-6736', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC11221348/', 'https://www.tandfonline.com/doi/full/10.1080/08989621.2025.2460497', 'https://www.nature.com/articles/d41586-024-04027-4', 'https://www.pnas.org/doi/10.1073/pnas.2401232121', 'https://www.nature.com/articles/d41586-025-02457-2', 'https://researchintegrityjournal.biomedcentral.com/articles/10.1186/s41073-023-00128-2', 'https://link.springer.com/chapter/10.1007/978-981-97-4060-4_22', 'https://journals.lww.com/ccmjournal/abstract/2025/06000/effect_of_monetary_incentives_on_peer_r', 'https://www.aeaweb.org/articles?id=10.1257/jep.28.3.169', 'https://www.tandfonline.com/doi/full/10.1080/08989621.2025.2450451', 'https://journals.sagepub.com/doi/10.3233/ISU-240003']"
766,[],['https://journals.nutrition.org/top_reviewer_awards']
770,[],['https://osp.od.nih.gov/comment-form-maximizing-research-funds-by-limiting-allowable-publishingcosts/']
772,"['B. (2021)', 'A. O. (2021)', 'J. (2017)', 'D. M. (2025)', 'A. (2021)', 'S. (2024)', 'S. (2019)', 'S. (2024)', 'S. (2019)', 'S. (2024)']","['https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25048.html', 'https://doi.org/10.12688/f1000research.27468.20', 'https://www.coalition-s.org/price-and-service-transparency-frameworks/', 'https://www.coalition-s.org/journal-comparison-service', 'https://web.archive.org/web/20230119161458/https://www.wiley.com/enus/network/publishing/research-publishing/editors/maximizing-the-transition-to-open-access-yourquestions-answered', 'https://web.archive.org/web/20221004131122/https://taylorandfrancis.com/our-policies/openaccess-pricing/', 'https://asapbio.org/preprint-servers.', 'https://oad.simmons.edu/oadwiki/Subscribe_to_Open_', 'https://journals.plos.org/plosone/s/journal-information', 'https://www.science.org/content/page/science-journals-editorial-policies#access-policies', 'https://www.lib.umn.edu/services/openaccess/author-fees', 'https://www.budapestopenaccessinitiative.org/boai20/', 'https://www.springernature.com/gp/open-science/us-federal-agency-compliance', 'https://www.coalition-s.org/blog/five-years-of-plan-s-a-journey-towards-full-andimmediate-open-access/', 'https://diamas.org/about', 'https://www.openaccessweek.org/theme-profiles/redalyc', 'https://www.scielo.org/en/about-scielo/program-publication-model-and-scielo-network/', 'https://pkp.sfu.ca/2024/12/18/pkp-for-ore/', 'https://publishingsupport.iopscience.iop.org/questions/articlepublication-charge-discount-for-reviewers/', 'https://www.publishersweekly.com/pw/by-topic/industry-news/financial-reporting/article/97263wiley-expects-steady-profit-improvement.html', 'http://doi.org/10.18352/lq.10280;', 'https://www.publishersweekly.com/pw/by-topic/industry-news/financial-reporting/article/97263wiley-expects-steady-profit-improvement.html', 'http://doi.org/10.18352/lq.10280;']"
773,"['Agency Open Access Policy on Publications (2024)', 'K. (2019)', 'M. (2016)', 'Agency Open Access Policy on Publications (2024)']","['www.sparcopen.org', 'Science.gc.ca', 'https://science.gc.ca/site/science/en/interagency-research-funding/policies-and-guidelines/open-access', 'https://doi.org/10.5281/zenodo.3060200', 'https://doi.org/10.7717/peerj.2323', 'https://doi.org/10.5281/zenodo.8398480', 'Science.gc.ca', 'https://science.gc.ca/site/science/en/interagency-research-funding/policies-and-guidelines/open-access', 'https://doi.org/10.5281/zenodo.8398480']"
777,[],['https://www.nature.com/nature-index/research-leaders/2025/']
778,['Inglis J (2019)'],"['https://doi.org/10.1371/journal.pbio.3000273', 'openrxiv.org', 'openrxiv.org']"
788,[],"['https://direct.mit.edu/qss/article/5/4/823/124269/The-strain-onscientific-publishing;', 'https://scholarlykitchen.sspnet.org/2021/06/16/whats-wrong-with-payingfor-peer-review/', 'https://scholarlykitchen.sspnet.org/2018/02/06/focusing-value-102-things-journal-publishers-2018update/', 'https://scholarlykitchen.sspnet.org/2018/02/06/focusing-value-102-things-journal-publishers-2018update/']"
795,[],['https://peerj.com/pricing#apc']
796,[],['https://journals.biologists.com/bio/pages/fast-fair.']
806,"['J. (2024)', 'A Study on the Impact of Plan S. Zenodo. . Clarke & Esposito. (2024)']","['https://doi.org/10.1007/s11192-020-03578-3', 'knowledgefutures.org', 'openrxiv.org', 'www.nihr.ac.uk']"
809,[],['https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/']
811,"['OAlition S (2021)', 'Rooney M. (2023)', 'Sumiko Asai. (2023)', 'D. (2025)', 'National Institutes of Health. (2024)', 'E. (2018)']","['charlotte.edu', 'cuanschutz.edu', 'https://www.coalition-s.org/why-hybrid-journalsdo-not-lead-to-full-and-immediate-open-access/.', 'https://doi.org/10.2196/44633.', 'https://doi.org/10.1108/IDD-09-2021-0098', 'https://www.authorsalliance.org/2025/07/18/an-update-nih-and-publisher-guidance-whatauthors-need-to-know-about-nihs-public-access-policy/.', 'https://grants.nih.gov/grants/policy/nihgps/html5/section_8/8.2.1_rights_in_data__public', 'https://www.science.org/content/article/win-open-access-two-major-funders-wont-coverpublishing-hybrid-journals.']"
815,[],"['https://econ.sites.northeastern.edu/wiki/microeconomics/markets-and-government/the-unintendedconsequences-of-price-ceilings-a-historical-overview/', 'https://mises.org/journal-libertarianstudies/failure-bolshevism-and-its-aftermath.', 'https://marketmonetarist.com/2013/07/29/beating-the-iron-law-of-publicchoice-a-reply-to-peter-boettke.', 'https://www.heritage.org/government-regulation/report/why-pricecontrols-prescription-drugs-would-harm-seniors.', 'https://youtu.be/yuhuKiTw4n8.', 'https://www.hoover.org/research/price-controls-still-bad-idea.', 'https://www.reaganlibrary.gov/archives/speech/radio-address-nationoil-prices.', 'https://www.aaas.org/sites/default/files/2022-10/OpenAccessSurveyReport_Oct2022_FINAL.pdf.', 'https://bidenwhitehouse.archives.gov/wp-content/uploads/2023/11/Open-AccessPublishing-of-Scientific-Research.pdf.', 'https://www.coalition-s.org/blog/journal-comparison-service-analysis-of-the-2022-data/.', 'https://op.europa.eu/en/publication-detail/-/publication/08da357e-926e-11ee-8aa601aa75ed71a1/language-en.', 'https://op.europa.eu/s/z8RB.', 'https://plos.org/fees/.', 'https://plos.org/financial-overview/.', 'https://elifesciences.org/annual-reports.', 'https://blogs.lse.ac.uk/impactofsocialsciences/2025/09/11/shaking-up-the-scholarly-publishing-marketwhy-caps-on-apcs-could-backfire/.', 'https://www.csescienceeditor.org/article/the-changing-landscape-of-oa-ta/.', 'https://sustainingknowledgecommons.org/2021/02/10/some-limitations-of-doaj-metadata-forresearch-purposes/.', 'https://www.deltathink.com/news-views-open-access-chargesprice-increases-back-on-trend.', 'https://www.insidehighered.com/news/government/science-researchpolicy/2024/08/29/open-access-expansion-threatens-academic.', 'https://www.govexec.com/management/2020/04/we-know-almost-nothingabout-costs-grant-administration/164440.', 'https://www.cogr.edu/changes-federal-research-requirements-1991.', 'https://thefdp.org/wp-content/uploads/FDP-FWS-2018-Primary-Report.pdf.', 'https://doi.org/10.17226/29231.', 'https://www.wipo.int/web/global-innovation-index/w/blogs/2024/end-of-yearedition.', 'https://ncses.nsf.gov/pubs/nsb20257.', 'https://www.csis.org/analysis/innovation-lightbulbbreaking-down-private-sector-research-and-development.', 'https://www.deltathink.com/news-views-total-value-of-scholarly-journalsmarket.', 'https://www.stm-publishing.com/global-scientific-technical-publishing-2023-2027.', 'https://scholarlykitchen.sspnet.org/2021/06/16/whats-wrong-with-paying-forpeer-review/.', 'https://researchintegrityjournal.biomedcentral.com/articles/10.1186/s41073-023-00128-2.', 'https://www.science.org/content/article/450-question-should-journals-pay-peer-reviewers.', 'https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200/section200.461.', 'https://www.ecfr.gov/current/title2/subtitle-A/chapter-II/part-200.', 'https://www.kwglobal.com/blog/pay-peer-reviewers/.', 'https://www.springernature.com/gp/reviewers/reviewersatisfaction.', 'https://www.equator-network.org/reporting-guidelines/.', 'https://jamanetwork.com/journals/jama/fullarticle/2832868', 'https://www.wolterskluwer.com/en/expertinsights/authors-equator-network.', 'https://publicationethics.org/guidance/guideline/guest-edited-collections.', 'https://www.elsevier.com/open-access.', 'https://doi.org/10.1629/uksg.663.', 'https://ondemand.sspnet.org/Title/e57561df-a949-49d8-87795b03a470e28e.', 'https://doi.org/10.1186/s41073-025-00163-1.', 'https://stm-assoc.org/what-we-do/strategic-areas/research-integrity/integrityhub/.', 'https://united2act.org/wpcontent/uploads/2024/11/trust-markers-united2act.pdf.', 'https://doi.org/10.5281/zenodo.14107216.', 'https://stm-assoc.org/what-we-do/strategic-areas/standards-technology/stm-trends-2028/.', 'https://stm-assoc.org/what-we-do/strategic-areas/social-responsibility/diversityinclusion/accessibility-resources-for-academic-publishers/.', 'https://www.equator-network.org/reporting-guidelines/.', 'https://jamanetwork.com/journals/jama/fullarticle/2832868', 'https://www.wolterskluwer.com/en/expertinsights/authors-equator-network.', 'https://publicationethics.org/guidance/guideline/guest-edited-collections.', 'https://www.elsevier.com/open-access.', 'https://doi.org/10.1629/uksg.663.', 'https://ondemand.sspnet.org/Title/e57561df-a949-49d8-87795b03a470e28e.', 'https://doi.org/10.1186/s41073-025-00163-1.', 'https://stm-assoc.org/what-we-do/strategic-areas/research-integrity/integrityhub/.', 'https://united2act.org/wpcontent/uploads/2024/11/trust-markers-united2act.pdf.', 'https://doi.org/10.5281/zenodo.14107216.', 'https://stm-assoc.org/what-we-do/strategic-areas/standards-technology/stm-trends-2028/.', 'https://stm-assoc.org/what-we-do/strategic-areas/social-responsibility/diversityinclusion/accessibility-resources-for-academic-publishers/.']"
818,[],"['https://www.whitehouse.gov/wp-content/uploads/2025/03/OSTP-Guidance-for-GSS-June-2025.pdf', 'https://www.nih.gov/sites/default/files/202508/2025-gss.pdf', 'https://www.deltathink.com/newsviews-total-value-of-scholarly-journals-market', 'https://www.springernature.com/gp/open-science/journals-books/journals/going-for-gold-reach-andimpact', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.springernature.com/gp/advancing-discovery/researchintegrity', 'https://www.nature.com/nature-portfolio/editorialpolicies/reporting-standards', 'https://nap.nationalacademies.org/catalog/29231/simplifying-research-regulations-and-policiesoptimizing-american-science', 'https://www.ecfr.gov/current/title-45/subtitleA/subchapter-A/part-75/subpart-E/subject-group-ECFR5d90ba314caea08/section-75.461', 'https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200/subpart-E/subject-groupECFRed1f39f9b3d4e72/section-200.461', 'https://grants.nih.gov/grants/policy/nihgps/html5/section_7/7.9_allowability_of_costs_activities.htm', 'https://www.springernature.com/gp/open-science/journalsbooks/journals/going-for-gold-reach-and-impact', 'https://stories.springernature.com/oa-report-2024/', 'https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-A/part-75/subpartE/subject-group-ECFR5d90ba314caea08/section-75.461', 'https://www.ecfr.gov/current/title-2/subtitleA/chapter-II/part-200/subpart-E/subject-group-ECFRed1f39f9b3d4e72/section-200.461', 'https://grants.nih.gov/grants/policy/nihgps/html5/section_7/7.9_allowability_of_costs_activities.htm', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://www.whitehouse.gov/wpcontent/uploads/2025/03/OSTP-Guidance-for-GSS-June-2025.pdf', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://www.springernature.com/gp/open-science/journals-books/journals/going-for-goldreach-and-impact', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.deltathink.com/newsviews-total-value-of-scholarly-journals-market', 'https://zenodo.org/records/14013060', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://group.springernature.com/gp/group/media/press-releases/transparent-peer-review-nowstandard-for-nature/27788498', 'https://www.springernature.com/gp/advancing-discovery/research-integrity', 'https://stories.springernature.com/oa-report-2024/', 'protocols.io', 'https://group.springernature.com/gp/group/media/pressreleases/transparent-peer-review-now-standard-for-nature/27788498', 'https://www.springernature.com/gp/advancing-discovery/springboard/blog/blogposts-openresearch/partnerships-to-gain-trust-and-advance-open-science/18767374', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.springernature.com/gp/editors/research-integrity', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.nature.com/nature-portfolio/editorial-policies/reporting-standards', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://www.nih.gov/sites/default/files/202508/2025-gss.pdf', 'https://www.springernature.com/gp/reviewers/reviewer-satisfaction', 'https://group.springernature.com/gp/group/media/press-releases/transparent-peer-review-nowstandard-for-nature/27788498', 'https://www.springernature.com/gp/advancing-discovery/springboard/blog/blogposts-trustintegrity/harnessing-technology-to-strengthen-research-integrity/27802690', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.nature.com/nature-portfolio/editorial-policies/reporting-standards', 'https://www.springernature.com/gp/advancing-discovery/research-integrity', 'https://www.springernature.com/gp/researchers/sharedit', 'https://www.springernature.com/gp/snapp', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.springernature.com/gp/advancing-discovery/springboard/blog/blogposts-trustintegrity/harnessing-technology-to-strengthen-research-integrity/27802690', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.nature.com/nature-portfolio/editorial-policies/reporting-standards', 'https://www.springernature.com/gp/advancing-discovery/research-integrity', 'https://www.springernature.com/gp/researchers/sharedit', 'https://www.springernature.com/gp/snapp', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf']"
819,[],"['https://arxiv.org/abs/1801.08992', 'https://sfdora.org/read/', 'https://coara.org/', 'https://www.nationalacademies.org/ourwork/roundtable-on-aligning-incentives-for-open-science', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21013.html', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD1168', 'https://irp.nih.gov/our-research/irpreview-process', 'https://lifecyclejournal.org/', 'https://zenodo.org/records/14013060', 'https://www.embo.org/features/the-cost-of-scientific-publishing/', 'https://bidenwhitehouse.archives.gov/wp-content/uploads/2023/11/Open-AccessPublishing-of-Scientific-Research.pdf', 'https://blogs.lse.ac.uk/impactofsocialsciences/2025/09/11/shaking-up-thescholarly-publishing-market-why-caps-on-apcs-could-backfire/', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-011.html', 'https://www.cos.io/initiatives/top-guidelines', 'https://www.cos.io/initiatives/top-guidelines']"
822,['Evidence. The Publons Global State of Peer Review (2018)'],[]
823,[],"['https://link.springer.com/article/10.1007/s11192-023-04894-0', 'https://www.cambridge.org/core/services/openresearch/transparent-pricing-policy-for-journals', 'https://www.cambridge.org/core/services/openresearch/journal-cost-transparency']"
824,[],"['https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-A/part-75/subpart-D/subject-groupECFR78b08d9c95aad03/section-75.322', 'https://www.deltathink.com/news-views-open-access-charges-continued-consolidation-andincreases-3', 'https://credit.niso.org/', 'https://credit.niso.org/']"
825,"['D. (2025)', 'K. (2024)']","['https://facts.mit.edu/research-highlights/', 'https://libraries.mit.edu/scholarly/publishing/framework/', 'https://www.whitehouse.gov/wp-content/uploads/2025/03/OSTP-Guidance-for-GSS-June-2025.pdf', 'https://libraries.mit.edu/scholarly/publishing/framework/', 'https://www.coalition-s.org/wpcontent/uploads/PlanS_Principles_and_Implementation_310519.pdf', 'https://open-sciencemonitoring.org/principles/', 'https://grandchallenges.pubpub.org/pub/final/release/3', 'https://journals.sagepub.com/doi/10.3233/ISU-150775', 'https://firstmonday.org/ojs/index.php/fm/article/view/12941', 'https://www.science.org/doi/10.1126/science.adi1570', 'https://www.leidenmadtrics.nl/articles/assessment-reform-and-publishing-reform-need-to-go-hand-inhand', 'https://brill.com/display/book/edcoll/9789004459076/BP000016.xml', 'https://doi.org/10.1371/journal.pbio.2004089', 'https://www.science.org/content/article/pay-publish-model-open-access-pricing-scientists', 'https://www.iastatedigitalpress.com/jlsc/article/id/12727/', 'https://www.nih.gov/about-nih/nihdirector/statements/nih-establish-new-policies-allowable-publication-costs', 'https://www.coalition-s.org/whyhybrid-journals-do-not-lead-to-full-and-immediate-open-access/', 'https://digitalcommons.unl.edu/scholcom/132/', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/.', 'https://doi.org/10.7910/DVN/3XDMNF', 'https://doi.org/10.5281/zenodo.10729575']"
